categoria_cod;categoria;origem_cod;origem;especie_cod;especie;valor_rec
1;RECEITAS CORRENTES;1;IMPOSTOS, TAXAS E CONTRIBUICOES DE MELHORIA;1;IMPOSTOS;1022759448268
1;RECEITAS CORRENTES;1;IMPOSTOS, TAXAS E CONTRIBUICOES DE MELHORIA;2;TAXAS;9163473776
1;RECEITAS CORRENTES;2;CONTRIBUICOES;1;CONTRIBUICOES SOCIAIS;1347063933090
1;RECEITAS CORRENTES;2;CONTRIBUICOES;2;CONTRIBUICOES ECONOMICAS;27655066991
1;RECEITAS CORRENTES;3;RECEITA PATRIMONIAL;1;EXPLORACAO PATRIMONIO IMOBILIARIO DO ESTADO;4143383571
1;RECEITAS CORRENTES;3;RECEITA PATRIMONIAL;2;VALORES MOBILIARIOS;62281294074
1;RECEITAS CORRENTES;3;RECEITA PATRIMONIAL;3;DELEG.SERV.PUB.MEDIANTE CONC/PERM/AUT/LICENCA;41641806042
1;RECEITAS CORRENTES;3;RECEITA PATRIMONIAL;4;EXPLORACAO DE RECURSOS NATURAIS;115618219759
1;RECEITAS CORRENTES;3;RECEITA PATRIMONIAL;5;EXPLORACAO DO PATRIMONIO INTANGIVEL;80974
1;RECEITAS CORRENTES;3;RECEITA PATRIMONIAL;6;CESSAO DE DIREITOS;8192856667
1;RECEITAS CORRENTES;3;RECEITA PATRIMONIAL;9;DEMAIS RECEITAS PATRIMONIAIS;3659876452
1;RECEITAS CORRENTES;4;RECEITA AGROPECUARIA;1;RECEITA AGROPECUARIA;28620697
1;RECEITAS CORRENTES;5;RECEITA INDUSTRIAL;1;RECEITA INDUSTRIAL;10040549524
1;RECEITAS CORRENTES;6;RECEITA DE SERVICOS;1;SERVICOS ADMINISTRATIVOS E COMERCIAIS GERAIS;3418536353
1;RECEITAS CORRENTES;6;RECEITA DE SERVICOS;2;SERV.E ATIVID.REF.A NAVEGACAO E AO TRANSP.;2705934955
1;RECEITAS CORRENTES;6;RECEITA DE SERVICOS;3;SERVICOS E ATIVIDADES REFERENTES A SAUDE;263664147
1;RECEITAS CORRENTES;6;RECEITA DE SERVICOS;4;SERVICOS E ATIVIDADES FINANCEIRAS;46170886109
1;RECEITAS CORRENTES;6;RECEITA DE SERVICOS;9;OUTROS SERVICOS;28852338
1;RECEITAS CORRENTES;7;TRANSFERENCIAS CORRENTES;2;TRANSF.DOS ESTADOS E DF E DE SUAS ENTIDADES;25945257
1;RECEITAS CORRENTES;7;TRANSFERENCIAS CORRENTES;3;TRANSF.DOS MUNICIPIOS E DE SUAS ENTIDADES;8558555
1;RECEITAS CORRENTES;7;TRANSFERENCIAS CORRENTES;4;TRANSFERENCIAS DE INSTITUICOES PRIVADAS;108814084
1;RECEITAS CORRENTES;7;TRANSFERENCIAS CORRENTES;6;TRANSFERENCIAS DO EXTERIOR;24359051
1;RECEITAS CORRENTES;7;TRANSFERENCIAS CORRENTES;9;DEMAIS TRANSFERENCIAS CORRENTES;2217575
1;RECEITAS CORRENTES;9;OUTRAS RECEITAS CORRENTES;1;MULTAS ADMINISTRAT., CONTRATUAIS E JUDICIAIS;7042802894
1;RECEITAS CORRENTES;9;OUTRAS RECEITAS CORRENTES;2;INDENIZACOES, RESTITUICOES E RESSARCIMENTOS;6486619144
1;RECEITAS CORRENTES;9;OUTRAS RECEITAS CORRENTES;3;BENS,DIR.E VALORES INCORPORADOS AO PATR.PUB.;1067598099
1;RECEITAS CORRENTES;9;OUTRAS RECEITAS CORRENTES;4;MULTAS E JUROS DE MORA DAS REC.DE CAPITAL;82682
1;RECEITAS CORRENTES;9;OUTRAS RECEITAS CORRENTES;9;DEMAIS RECEITAS CORRENTES;65765747915
2;RECEITAS DE CAPITAL;1;OPERACOES DE CREDITO;1;OPERACOES DE CREDITO - MERCADO INTERNO;2433677346931
2;RECEITAS DE CAPITAL;1;OPERACOES DE CREDITO;2;OPERACOES DE CREDITO - MERCADO EXTERNO;10094843917
2;RECEITAS DE CAPITAL;2;ALIENACAO DE BENS;1;ALIENACAO DE BENS MOVEIS;43489741
2;RECEITAS DE CAPITAL;2;ALIENACAO DE BENS;2;ALIENACAO DE BENS IMOVEIS;462248440
2;RECEITAS DE CAPITAL;3;AMORTIZACAO DE EMPRESTIMOS;1;AMORTIZACAO DE EMPRESTIMOS;34515530820
2;RECEITAS DE CAPITAL;4;TRANSFERENCIAS DE CAPITAL;2;TRANSF.DOS ESTADOS, DO DF E DE SUAS ENTIDADES;52045201
2;RECEITAS DE CAPITAL;4;TRANSFERENCIAS DE CAPITAL;3;TRANSFER.DOS MUNICIPIOS E DE SUAS ENTIDADES;31257500
2;RECEITAS DE CAPITAL;4;TRANSFERENCIAS DE CAPITAL;4;TRANSFERENCIAS DE INSTITUICOES PRIVADAS;22223998
2;RECEITAS DE CAPITAL;4;TRANSFERENCIAS DE CAPITAL;6;TRANSFERENCIAS DO EXTERIOR;6788248
2;RECEITAS DE CAPITAL;4;TRANSFERENCIAS DE CAPITAL;9;DEMAIS TRANSFERENCIAS DE CAPITAL;1100000
2;RECEITAS DE CAPITAL;9;OUTRAS RECEITAS DE CAPITAL;2;RESULTADO DO BANCO CENTRAL;1104000000
2;RECEITAS DE CAPITAL;9;OUTRAS RECEITAS DE CAPITAL;3;REMUNERACAO DAS DISPONIBILIDADES DO TESOURO;125327898784
7;RECEITAS CORRENTES-INTRA;1;IMPOSTOS, TAXAS E CONTRIB. DE MELHORIA-INTRA;1;IMPOSTOS-INTRA;1822494
7;RECEITAS CORRENTES-INTRA;1;IMPOSTOS, TAXAS E CONTRIB. DE MELHORIA-INTRA;2;TAXAS-INTRA;1679861
7;RECEITAS CORRENTES-INTRA;2;CONTRIBUICOES-INTRA;1;CONTRIBUICOES SOCIAIS-INTRA;23521112081
7;RECEITAS CORRENTES-INTRA;2;CONTRIBUICOES-INTRA;2;CONTRIBUICOES ECONOMICAS-INTRA;679671
7;RECEITAS CORRENTES-INTRA;3;RECEITA PATRIMONIAL-INTRA;1;EXPLORACAO PATRIM.IMOBILIARIO DO ESTADO-INTRA;425527
7;RECEITAS CORRENTES-INTRA;5;RECEITA INDUSTRIAL-INTRA;1;RECEITA INDUSTRIAL-INTRA;53642052
7;RECEITAS CORRENTES-INTRA;6;RECEITA DE SERVICOS-INTRA;1;SERVICOS ADMINIST.E COMERCIAIS GERAIS-INTRA;295884658
7;RECEITAS CORRENTES-INTRA;6;RECEITA DE SERVICOS-INTRA;3;SERVICOS E ATIVIDADES REFER.A SAUDE-INTRA;51753
7;RECEITAS CORRENTES-INTRA;6;RECEITA DE SERVICOS-INTRA;9;OUTROS SERVICOS-INTRA;169392
7;RECEITAS CORRENTES-INTRA;9;OUTRAS RECEITAS CORRENTES-INTRA;1;MULTAS ADMIN., CONTRATUAIS E JUDICIAIS-INTRA;102479
7;RECEITAS CORRENTES-INTRA;9;OUTRAS RECEITAS CORRENTES-INTRA;2;INDENIZACOES E RESTITUICOES;74659586
7;RECEITAS CORRENTES-INTRA;9;OUTRAS RECEITAS CORRENTES-INTRA;9;DEMAIS RECEITAS CORRENTES-INTRA;261260809
